Store No.,Store Name,Address,Street,City,State,Zip_Code,Phone,Open Hours,URL,Updated_Date
124,Pet Supplies San Juan Capistrano | Petco,"32391 Camino Capistrano, Suite A, San Juan Capistrano, CA, 92675",32391 Camino Capistrano,San Juan Capistrano,CA,92675,949-240-9388,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/ca/sanjuancapistrano/pet-supplies-sanjuancapistrano-ca-124.html,2021-02-25
167,Pet Supplies Studio City | Petco,"12800 Ventura Blvd., Studio City, CA, 91604",12800 Ventura Blvd.,Studio City,CA,91604,818-506-6416,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/ca/studiocity/pet-supplies-studiocity-ca-167.html,2021-02-25
187,Pet Supplies Ventura | Petco,"4300 East Main Street, Unit A, Ventura, CA, 93003",4300 East Main Street,Ventura,CA,93003,805-639-3016,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/ca/ventura/pet-supplies-ventura-ca-187.html,2021-02-25
196,Pet Supplies San Pedro | Petco,"852 North Western Avenue, San Pedro, CA, 90732",852 North Western Avenue,San Pedro,CA,90732,310-521-8131,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/ca/sanpedro/pet-supplies-sanpedro-ca-196.html,2021-02-25
201,Pet Supplies Kirkland | Petco,"12040 Ne 85th St., Kirkland, WA, 98033",12040 Ne 85th St.,Kirkland,WA,98033,425-889-8319,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/wa/kirkland/pet-supplies-kirkland-wa-201.html,2021-02-25
202,Pet Supplies Mount Vernon | Petco,"201 E. College Wy, Suite B, Mount Vernon, WA, 98273",201 E. College Wy,Mount Vernon,WA,98273,360-424-5999,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/wa/mountvernon/pet-supplies-mountvernon-wa-202.html,2021-02-25
203,Pet Supplies Corvallis | Petco,"2365 N.w. Kings Blvd., Corvallis, OR, 97330",2365 N.w. Kings Blvd.,Corvallis,OR,97330,541-766-8997,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/or/corvallis/pet-supplies-corvallis-or-203.html,2021-02-25
205,Pet Supplies Bend | Petco,"3197 N Hwy 97, #5, Bend, OR, 97703",3197 N Hwy 97,Bend,OR,97703,541-382-0510,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/or/bend/pet-supplies-bend-or-205.html,2021-02-25
206,Pet Supplies Great Falls | Petco,"1601 Market Place Drive, Suite 371, Great Falls, MT, 59404",1601 Market Place Drive,Great Falls,MT,59404,406-454-2444,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/mt/greatfalls/pet-supplies-greatfalls-mt-206.html,2021-02-25
207,Pet Supplies Idaho Falls | Petco,"2375 East 17th St, Idaho Falls, ID, 83404",2375 East 17th St,Idaho Falls,ID,83404,208-525-6166,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/id/idahofalls/pet-supplies-idahofalls-id-207.html,2021-02-25
208,Pet Supplies Seattle | Petco,"809 Ne 45th Street, Seattle, WA, 98105",809 Ne 45th Street,Seattle,WA,98105,206-548-1400,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/wa/seattle/pet-supplies-seattle-wa-208.html,2021-02-25
209,Pet Supplies Tualatin | Petco,"8775 Tualatin Sherwood Road, Tualatin, OR, 97062",8775 Tualatin Sherwood Road,Tualatin,OR,97062,503-885-9224,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/or/tualatin/pet-supplies-tualatin-or-209.html,2021-02-25
211,Pet Supplies Midvale | Petco,"1090 East Fort Union Boulevard, Midvale, UT, 84047",1090 East Fort Union Boulevard,Midvale,UT,84047,801-352-1510,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/ut/midvale/pet-supplies-midvale-ut-211.html,2021-02-25
212,Pet Supplies Tigard | Petco,"11705 Sw Pacific Highway, Tigard, OR, 97223",11705 Sw Pacific Highway,Tigard,OR,97223,503-684-0648,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/or/tigard/pet-supplies-tigard-or-212.html,2021-02-25
214,Pet Supplies Lake Oswego | Petco,"333 South State Street, Suite A, Lake Oswego, OR, 97034",333 South State Street,Lake Oswego,OR,97034,503-635-5324,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/or/lakeoswego/pet-supplies-lakeoswego-or-214.html,2021-02-25
241,Pet Supplies Spokane | Petco,"6302 North Division, Spokane, WA, 99208",6302 North Division,Spokane,WA,99208,509-487-3242,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/wa/spokane/pet-supplies-spokane-wa-241.html,2021-02-25
244,Pet Supplies Everett | Petco,"1203 S.e. Everett Mall Way, Suite F, Everett, WA, 98208",1203 S.e. Everett Mall Way,Everett,WA,98208,425-290-6533,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/wa/everett/pet-supplies-everett-wa-244.html,2021-02-25
250,Pet Supplies Issaquah | Petco,"975 Nw Gilman Blvd, Suite E, Issaquah, WA, 98027",975 Nw Gilman Blvd,Issaquah,WA,98027,425-392-9664,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/wa/issaquah/pet-supplies-issaquah-wa-250.html,2021-02-25
251,Pet Supplies Beaverton | Petco,"4037 Sw 117th Avenue, Suite C, Beaverton, OR, 97005",4037 Sw 117th Avenue,Beaverton,OR,97005,503-644-6558,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/or/beaverton/pet-supplies-beaverton-or-251.html,2021-02-25
252,Pet Supplies Seattle | Petco,"8728 Holman Road, Nw, Seattle, WA, 98117","8728 Holman Road, Nw",Seattle,WA,98117,206-784-0524,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/wa/seattle/pet-supplies-seattle-wa-252.html,2021-02-25
254,Pet Supplies Beaverton | Petco,"18200 Nw Evergreen Pkway, Beaverton, OR, 97006",18200 Nw Evergreen Pkway,Beaverton,OR,97006,503-614-8070,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/or/beaverton/pet-supplies-beaverton-or-254.html,2021-02-25
255,Pet Supplies Olympia | Petco,"1530 Black Lake Blvd, Suite D, Olympia, WA, 98502",1530 Black Lake Blvd,Olympia,WA,98502,360-956-0698,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/wa/olympia/pet-supplies-olympia-wa-255.html,2021-02-25
256,Pet Supplies Gresham | Petco,"2000 N.e. Burnside St., Gresham, OR, 97030",2000 N.e. Burnside St.,Gresham,OR,97030,503-674-8558,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/or/gresham/pet-supplies-gresham-or-256.html,2021-02-25
257,Pet Supplies Veradale | Petco,"North Sullivan Road, Unit 10, Veradale, WA, 99037",North Sullivan Road,Veradale,WA,99037,509-927-2670,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/wa/veradale/pet-supplies-veradale-wa-257.html,2021-02-25
258,Pet Supplies Federal Way | Petco,"31419 Pacific Highway South, Federal Way, WA, 98003",31419 Pacific Highway South,Federal Way,WA,98003,253-839-7423,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/wa/federalway/pet-supplies-federalway-wa-258.html,2021-02-25
